WHO	TYPE	SUBTYPE	REAL PROBLEM	PT	AUTHORS	TITLE	SOURCE	YEAR	ABSTRACT
MARIBEL	DE		YES	S	de Oliveira, Fernando Bernardes; Davendra, Donald; Guimaraes, Frederico Gadelha	Multi-Objective Differential Evolution on the GPU with C-CUDA	SOFT COMPUTING MODELS IN INDUSTRIAL AND ENVIRONMENTAL APPLICATIONS	2013	In some applications, evolutionary algorithms may require high computational resources and high processing power, sometimes not producing a satisfactory solution after running for a considerable amount of time. One possible improvement is a parallel approach to reduce the response time. This work proposes to study a parallel multi-objective algorithm, the multi-objective version of Differential Evolution (DE). The generation of trial individuals can be done in parallel, greatly reducing the overall processing time of the algorithm. A novel approach to parallelize this algorithm is the implementation on the Graphic Processing Units (GPU). These units present high degree of parallelism and they were initially developed for image rendering. However, NVIDIA has released a framework, named CUDA, which allows developers to use GPU for general-purpose computing (GPGPU). This work studies the implementation of Multi-Objective DE (MODE) on the GPU with C-CUDA, evaluating the gain in processing time against the sequential version. Benchmark functions are used to validate the implementation and to confirm the efficiency of MODE on the GPU. The results show that the approach achieves an expressive speed up and a highly efficient processing power.
PEDRO	DE		NO	J	Fabris, Fabio; Krohling, Renato A.	A co-evolutionary differential evolution algorithm for solving min-max optimization problems implemented on GPU using C-CUDA	EXPERT SYSTEMS WITH APPLICATIONS	2012	Several areas of knowledge are being benefited with the reduction of the computing time by using the technology of graphics processing units (GPU) and the compute unified device architecture (CUDA) platform. In case of evolutionary algorithms, which are inherently parallel, this technology may be advantageous for running experiments demanding high computing time. In this paper, we provide an implementation of a co-evolutionary differential evolution (DE) algorithm in C-CUDA for solving min-max problems. The algorithm was tested on a suite of well-known benchmark optimization problems and the computing time has been compared with the same algorithm implemented in C. Results demonstrate that the computing time can significantly be reduced and scalability is improved using C-CUDA. As far as we know, this is the first implementation of a co-evolutionary DE algorithm in C-CUDA. (C) 2011 Elsevier Ltd. All rights reserved.
PEDRO	DE		NO	B	Davendra, Donald; Gaura, Jan; Bialic-Davendra, Magdalena; Senkerik, Roman	CUDA BASED ENHANCED DIFFERENTIAL EVOLUTION: A COMPUTATIONAL ANALYSIS	PROCEEDINGS 26TH EUROPEAN CONFERENCE ON MODELLING AND SIMULATION ECMS 2012	2012	General purpose graphic programming unit (GPGPU) programming is a novel approach for solving parallel variable independent problems. The graphic processor core (GPU) gives the possibility to use multiple blocks, each of which contains hundreds of threads. Each of these threads can be visualized as a core onto itself, and tasks can be simultaneously sent to all the threads for parallel evaluations. This research explores the advantages of applying a evolutionary algorithm (EA) on the GPU in terms of computational speedups. Enhanced Differential Evolution (EDE) is applied to the generic permutative flowshop scheduling (PFSS) problem both using the central processing unit (CPU) and the GPU, and the results in terms of execution time is compared.
PEDRO	DE		NO	S	Arabas, Jaroslaw; Maitre, Ogier; Collet, Pierre	PARADE: A Massively Parallel Differential Evolution Template for EASEA	SWARM AND EVOLUTIONARY COMPUTATION	2012	This paper presents an efficient PARAllelization of Differential Evolution on GPU hardware written as an EASEA (EAsy Specification of Evolutionary Algorithms) template for easy reproducibility and re-use. We provide results of experiments to illustrate the relationship between population size and efficiency of the parallel version based on GPU related to the sequential version on the CPU. We also discuss how the population size influences the number of generations to obtain a certain level of result quality.
PEDRO	DE		YES	S	Qin, A. K.; Raimondo, Federico; Forbes, Florence; Ong, Yew Soon	An Improved CUDA-Based Implementation of Differential Evolution on GPU	PROCEEDINGS OF THE FOURTEENTH INTERNATIONAL CONFERENCE ON GENETIC AND EVOLUTIONARY COMPUTATION CONFERENCE	2012	Modern GPUs enable widely affordable personal computers to carry out massively parallel computation tasks. NVIDIA's CUDA technology provides a wieldy parallel computing platform. Many state-of-the-art algorithms arising from different fields have been redesigned based on CUDA to achieve computational speedup. Differential evolution (DE), as a very promising evolutionary algorithm, is highly suitable for parallelization owing to its data-parallel algorithmic structure. However, most existing CUDA-based DE implementations suffer from excessive low-throughput memory access and less efficient device utilization. This work presents an improved CUDA-based DE to optimize memory and device utilization: several logically-related kernels are combined into one composite kernel to reduce global memory access; kernel execution configuration parameters are automatically determined to maximize device occupancy; streams are employed to enable concurrent kernel execution to maximize device utilization. Experimental results on several numerical problems demonstrate superior computational time efficiency of the proposed method over two recent CUDA-based DE and the sequential DE across varying problem dimensions and algorithmic population sizes.
PEDRO	DE		NO	S	Zhou, Xinyu; Wu, Zhijian; Wang, Hui	Elite Opposition-based Differential Evolution for Solving Large-scale Optimization Problems and Its Implementation on GPU	2012 13TH INTERNATIONAL CONFERENCE ON PARALLEL AND DISTRIBUTED COMPUTING, APPLICATIONS, AND TECHNOLOGIES (PDCAT 2012)	2012	Recently, the interests of solving large-scale optimization problems have increased in the field of evolutionary algorithms. This paper presents a novel differential evolution, namely EOBDE, to solve these kinds of problems by using elite opposition-based learning strategy. In the proposed algorithm, the opposite solutions of some selected elite individuals from the current population are generated at a certain probability for generation jumping. Then a corresponding opposite population is constructed to compete with the current population for providing more chances of finding out the global optimum. This approach is helpful to obtain a tradeoff between exploration and exploitation ability of DE. As another contribution, a parallel version of the proposed algorithm is implemented on Graphics Processing Units (GPU) based on CUDA platform for accelerating computing speed. The experiments are carried out on a set of representative problems with D=500 and 1000. The results of EOBDE are compared with other four state-of-the-art evolutionary algorithms in order to investigate the performance, which show that our proposed algorithm outperform the compared algorithms in terms of solution accuracy. Also the parallel version based on GPU shows promising performance in terms of the computational time.
ANTONIO	EDA	UMDA	YES	S	de Souza, Murilo Zangari; Ramirez Pozo, Aurora Trinidad	Parallel MOEA/D-ACO on GPU	ADVANCES IN ARTIFICIAL INTELLIGENCE (IBERAMIA 2014)	2014	This paper describes the idea of MOEA/D-ACO (Multiobjective Evolutionary Algorithm based on Decomposition and Ant Colony Optimization) and proposes a Graphics Processing Unit (GPU) implementation of MOEA/D-ACO using NVIDIA CUDA (Compute Unified Device Architecture) in order to improve the execution time. ACO is well-suited to GPU implementation, and both the solution construction and pheromone update phase are implemented using a data parallel approach. The parallel implementation is applied on the Multiobjective 0-1 Knapsack Problem and the Multiobjective Traveling Salesman Problem and reports speedups up to 19x and 11x respectively from the sequential counterpart with similar quality results. Moreover, the results show that the size of test instances, the number of objectives and the number of subproblems directly affect the speedup.
GUSTAVO	ES		no	J	Zhu, Weihang	Nonlinear optimization with a massively parallel Evolution Strategy-Pattern Search algorithm on graphics hardware	APPLIED SOFT COMPUTING	2011	This paper presents a massively parallel Evolution Strategy-Pattern Search Optimization (ES-PS) algorithm with graphics hardware acceleration on bound constrained nonlinear continuous optimization problems. The algorithm was specifically designed for a graphic processing unit (GPU) hardware platform featuring 'Single Instruction Multiple Thread' (SIMT). Evolution Strategy is a population-based evolutionary algorithm for solving complex optimization problems. GPU computing is an emerging desktop parallel computing platform. The hybrid ES-PS optimization method was implemented in the GPU environment and compared to a similar implementation on Central Processing Units (CPU). Computational results indicated that GPU-accelerated SIMT-ES-PS method was orders of magnitude faster than the corresponding CPU implementation. The main contribution of this paper was the parallelization analysis and performance analysis of the hybrid ES-PS with GPU acceleration. The computational results demonstrated a promising direction for high speed optimization with desktop parallel computing on a personal computer (PC). (C) 2010 Elsevier B.V. All rights reserved.
PABLO	ES		NO	B	Zhu, Weihang	A Study of Parallel Evolution Strategy - Pattern Search on a GPU Computing Platform	WORLD SUMMIT ON GENETIC AND EVOLUTIONARY COMPUTATION (GEC 09)	2009	This paper presents a massively parallel Evolution Strategy Pattern Search Optimization (ES-PS) algorithm with graphics hardware acceleration on bound constrained nonlinear continuous optimization functions. The algorithm is specifically designed for a graphic processing unit (CPU) hardware platform featuring 'Single Instruction Multiple Thread' (SIMT). CPU computing is an emerging desktop parallel computing platform. The hybrid ES-PS optimization method is implemented in the GPU environment and compared to a similar implementation on CPU hardware. Computational results indicate that CPU-accelerated SIMT-ES-PS method is orders of magnitude faster than the corresponding CPU implementation. The main contribution of this paper is the parallelization analysis and performance analysis of the hybrid ES-PS with CPU acceleration.
JJ	GA	ML	YES	J	Franco, Maria A.; Bacardit, Jaume	Large-scale experimental evaluation of GPU strategies for evolutionary machine learning	INFORMATION SCIENCES	2016	Graphics Processing Units (GPUs) are effective tools for improving the efficiency of many computationally demanding algorithms. GPUs have been particularly effective at speeding up the evaluation stage of evolutionary machine learning systems. The speedups obtained in these tasks, depend on many factors: dataset characteristics, the parallel strategy of the CPU code and the fit of the GPU code within the rest of the learning system. A solid understanding of all these factors is required to choose and adjust the most suitable GPU strategy in different scenarios. In this paper we present a large-scale performance evaluation of two GPU strategies for speeding up the evaluation of evolutionary machine learning systems. We use highly-tuneable synthetic problems to exhaustively explore the space of problem characteristics and determine the type of problems where each strategy performs best. The lessons learnt from this extensive evaluation are further confirmed by running experiments on a broad range of real-world datasets. Through this thorough evaluation we obtain a solid understanding of the capabilities and limitations of the evaluated GPU strategies for boosting the efficiency of evolutionary machine learning systems. (C) 2015 Elsevier Inc. All rights reserved.
JJ	GA	NN	YES	J	Sotiropoulos, Panagiotis; Kolonias, Vasileios; Aspragathos, Nikos; Housos, Efthymios	Rapid motion planning algorithm for optimal UVMS interventions in semi-structured environments using GPUs	ROBOTICS AND AUTONOMOUS SYSTEMS	2015	In this work, a novel local motion planning algorithm is presented, for underwater vehicle manipulator systems (UVMS) that perform autonomous underwater inspection operations. An optimization problem is formulated considering the collision avoidance, the approximation of the given task curve and critical optimization criteria. The searching method is based on an evolutionary algorithm and it is able to generate a local motion plan using continuously updated sensor information. The working environment is represented by a Bump-surface entity, constantly updated by a parallel algorithm implemented on a graphical processing unit (GPU). A trained artificial neural network is used for the fast approximation of the considered dexterity index. The local planner can cope with unknown obstacles inside the workspace while executing the task and pursuing high performance configurations in the free space. A welding inspection on an underwater tube structure is considered as the validation scenario, while a UVMS with a mounted six degrees of freedom manipulator is assigned to perform the task. (C) 2015 Elsevier B.V. All rights reserved.
JJ	GA		YES	J	Arca, Bachisio; Ghisu, Tiziano; Trunfio, Giuseppe A.	GPU-accelerated multi-objective optimization of fuel treatments for mitigating wildfire hazard	JOURNAL OF COMPUTATIONAL SCIENCE	2015	Fuel treatment is considered a suitable way to mitigate the hazard related to potential wildfires on a landscape. However, designing an optimal spatial layout of treatment units represents a difficult optimization problem. In fact, budget constraints, probabilistic nature of fire behaviour and complex interactions among the different fuel treatment patches, give rise to challenging search spaces on typical landscapes. In this study, we formulate the design problem in terms of a bi-objective optimization: minimizing both the extension of land characterized by high fire hazard and the cost of treatment. Then, we propose a computational approach that leads to a Pareto approximation set by exploiting an adapted version of the Non-dominated Sorting Genetic Algorithm II (NSGA-II) together with General-Purpose computing on Graphics Processing Units (GPGPU). Using an application example based on a real landscape, we also show that the proposed methodology has the potential to effectively support the design of a suitable fuel treatment for a landscape. (C) 2015 Elsevier B.V. All rights reserved.
JJ	GA		YES	J	Liu, Zhao-Hua; Li, Xiao-Hua; Wu, Liang-Hong; Zhou, Shao-Wu; Liu, Kan	GPU-Accelerated Parallel Coevolutionary Algorithm for Parameters Identification and Temperature Monitoring in Permanent Magnet Synchronous Machines	IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS	2015	A hierarchical fast parallel co-evolutionary immune particle swarm optimization (PS()) algorithm, accelerated by graphics processing unit (CPU) technique (C-PCIPS0), is proposed for multiparameter identification and temperature monitoring of permanent magnet synchronous machines (PMSM). It is composed of two levels and is developed based on compute unified device architecture (CUDA). In G-PCIPSO, the antibodies (Abs) of higher level memory are selected from the lower level swarms and improved by immune clonal-selection operator. The search information exchanges between swarms using the memory-based sharing mechanism. Moreover, an immune vaccine-enhanced operator is proposed to lead the Pbests particles to unexplored areas. Optimized parallel implementations of C-PCIPSO algorithm is developed on CPU using CUDA, which significantly speeds up the search process. Finally, the proposed algorithm is applied to multiple parameters identification and temperature monitoring of PMSM. It can track parameter variation and achieve temperature monitoring online effectively. Compared with a CPU-based serial execution, the computational efficiency is greatly enhanced by CPU-accelerated parallel computing technique.
JJ	GA	NN	YES	J	Bukharov, Oleg E.; Bogolyubov, Dmitry P.	Development of a decision support system based on neural networks and a genetic algorithm	EXPERT SYSTEMS WITH APPLICATIONS	2015	Given ever increasing information volume and complexity of engineering, social and economic systems, it has become more difficult to assess incoming data and manage such systems properly. Currently developed innovative decision support systems (DSS) aim to achieve optimum results while minimizing the risks of serious losses. The purpose of the DSS is to help the decision-maker facing the problem of huge amounts of data and ambiguous reactions of complicated systems depending on external factors. By means of accurate and profound analysis, DSSs are expected to provide the user with precisely forecasted indicators and optimal decisions.In this paper we suggest a new DSS structure which could be used in a wide range of difficult to formalize tasks and achieve a high speed of calculation and decision-making.We examine different approaches to determining the dependence of a target variable on input data and review the most common statistical forecasting methods. The advantages of using neural networks for this purpose are described. We suggest applying interval neural networks for calculations with underdetermined (interval) data, which makes it possible to use our DSS in a wide range of complicated tasks. We developed a corresponding learning algorithm for the interval neural networks. The advantages of using a genetic algorithm (GA) to select the most significant inputs are shown. We justify the use of general-purpose computing on graphics processing units (GPGPU) to achieve high-speed calculations with the decision support system in question. A functional diagram of the system is presented and described. The results and samples of the DSS application are demonstrated. (C) 2015 Elsevier Ltd. All rights reserved.
JJ	GA	NN	YES	J	Fe, Jorge D.; Aliaga, Ramon J.; Gadea-Girones, Rafael	Evolutionary optimization of neural networks with heterogeneous computation: study and implementation	JOURNAL OF SUPERCOMPUTING	2015	In the optimization of artificial neural networks (ANNs) via evolutionary algorithms and the implementation of the necessary training for the objective function, there is often a trade-off between efficiency and flexibility. Pure software solutions on general-purpose processors tend to be slow because they do not take advantage of the inherent parallelism, whereas hardware realizations usually rely on optimizations that reduce the range of applicable network topologies, or they attempt to increase processing efficiency by means of low-precision data representation. This paper presents, first of all, a study that shows the need of heterogeneous platform (CPU-GPU-FPGA) to accelerate the optimization of ANNs using genetic algorithms and, secondly, an implementation of a platform based on embedded systems with hardware accelerators implemented in Field Pro-grammable Gate Array (FPGA). The implementation of the individuals on a remote low-cost Altera FPGA allowed us to obtain a 3x-4x acceleration compared with a 2.83 GHz Intel Xeon Quad-Core and 6x-7x compared with a 2.2 GHz AMD Opteron Quad-Core 2354.
JJ	GA		YES	J	Pedemonte, Martin; Luna, Francisco; Alba, Enrique	Systolic genetic search, a systolic computing-based metaheuristic	SOFT COMPUTING	2015	In this paper, we propose a new parallel optimization algorithm that combines ideas from the fields of metaheuristics and Systolic Computing. The algorithm, called Systolic Genetic Search (SGS), is designed to explicitly exploit the high degree of parallelism available in modern Graphics Processing Unit (GPU) architectures. In SGS, solutions circulate synchronously through a grid of processing cells, which apply adapted evolutionary operators on their inputs to compute their outputs that are then ejected from the cells and continue moving through the grid. Four different variants of SGS are experimentally studied for solving two classical benchmarking problems and a real-world application. An extensive experimental analysis, which considered several instances for each problem, shows that three of the SGS variants designed are highly effective since they can obtain the optimal solution in almost every execution for the instances and problems studied, as well as they outperform a Random Search (sanity check) and two Genetic Algorithms. The parallel implementation on GPU of the proposed algorithm has achieved a high performance obtaining runtime reductions from the sequential implementation that, depending on the instance considered, can arrive to around a hundred times, and have also exhibited a good scalability behavior when solving highly dimensional problem instances.
JJ	GA		NO	J	Patvardhan, C.; Bansal, Sulabh; Srivastav, Anand	Quantum-Inspired Evolutionary Algorithm for difficult knapsack problems	MEMETIC COMPUTING	2015	Quantum Inspired Evolutionary Algorithms (QIEAs) are Evolutionary Algorithms which use concepts and principles of quantum computing. The 0/1 knapsack problem (KP) is a well known combinatorial optimization problem that has been typically used to validate the performance of QIEAs. However, there are some variants of KPs called difficult knapsack problems (DKPs) that are known to be more difficult to solve. QIEAs have not yet been fully explored for solving these. In this work, an improved QIEA, called QIEA-PSA is presented. A novel method to initialize the qubit individuals based on heuristic information for the KP instance and a method for size reduction for each new generation are introduced in the presented QIEA-PSA. Experiments are carried out for several types of DKPs that are much larger in size than those attempted hitherto. QIEA-PSA provides much better solutions than QIEA with much lesser computation times. Even a serial implementation of QIEA-PSA competes favorably on the same problem instances with a parallel implementation of an exact algorithm given recently in literature. A comparison is made which shows QIEA-PSA outperforms a recently applied population based search technique to solve benchmark KP instances. The ideas used for developing QIEA-PSA are general and may be utilized with advantage on other problems.
JJ	GA		YES	J	Zhang, Qiyao; Cheng, Longjiu	Structural Determination of (Al2O3)(n) (n=1-15) Clusters Based on Graphic Processing Unit	JOURNAL OF CHEMICAL INFORMATION AND MODELING	2015	Global optimization algorithms have been widely used in the field of chemistry to search the global minimum structures of molecular and atomize clusters, which is a nondeterministic polynomial problem with the increasing sizes of clusters. Considering that the computational ability Of a graphic processing unit (GPU) is Much better than that of a central processing unit :(CPU), we developed a GPU-based genetic algorithm for structural prediction of clusters and achieved a high acceleration ratio compared to a CPU. On the one-dimensional (1D) operation of a GPU, taking (Al2O3)(n) clusters as test cases, the peak acceleration ratio in the CPU is about 220 times that in a CPU in single precision and the value is 103 for double precision in calculation of the analytical interatomic potential. The peak acceleration ratio is about 240 and 107 on the block operation, and it is about 77 and 35 on the 2D operation compared to a CPU in single precision and double precision, respectively. And the peak acceleration ratio of the whole genetic algorithm program is about 35 compared to CPU at double precision. Structures of (Al2O3)(n) clusters at n = 1-10 reported in previous works are successfully located, and their low-lying structures at n = 11-15 are predicted.
